run,model,arm,task,seed,success,iterations,repetition_events,n_candidates,max_consec_dist,final_dist_to_step1,structural_jump
E4v2lock,7B,repair_structured,v2_11,0,False,5,4,5,0.0,0.0,False
E4v2lock,7B,repair_diverse,v2_11,0,True,3,1,3,0.8309,0.8309,True
E4v2lock,7B,repair_nudge_weak,v2_11,0,False,5,4,5,0.0,0.0,False
E4v4,7B,repair_structured,v4_01,0,False,5,4,5,0.0,0.0,False
E4v4,7B,repair_structured,v4_08,0,False,5,4,5,0.0,0.0,False
E4v4,7B,repair_diverse,v4_01,0,False,5,4,5,0.0,0.0,False
E4v4,7B,repair_diverse,v4_08,0,True,3,1,3,0.6525,0.6525,True
E4v4,7B,repair_nudge_weak,v4_01,0,False,5,4,5,0.0,0.0,False
E4v4,7B,repair_nudge_weak,v4_08,0,False,5,4,5,0.0,0.0,False
E4v3lock,7B,repair_structured,v3_07,0,False,5,4,0,,0.0,False
E4v3lock,7B,repair_diverse,v3_07,0,False,5,4,0,,0.0,False
E4v3lock,7B,repair_nudge_weak,v3_07,0,False,5,4,0,,0.0,False
E5,7B,repair_structured,v5_04,0,False,5,1,5,0.3185,0.3875,True
E5,7B,repair_structured,v5_07,0,False,5,4,5,0.0,0.0,False
E5,7B,repair_structured,v5_09,0,False,5,3,5,0.1664,0.1664,False
E5,7B,repair_structured,v5_04,1,False,5,4,5,0.0,0.0,False
E5,7B,repair_structured,v5_07,1,False,5,4,5,0.0,0.0,False
E5,7B,repair_structured,v5_09,1,False,5,3,5,0.1664,0.1664,False
E5,7B,repair_diverse,v5_04,0,False,5,1,5,0.3185,0.3875,True
E5,7B,repair_diverse,v5_07,0,False,5,2,5,0.257,0.257,True
E5,7B,repair_diverse,v5_09,0,False,5,2,5,0.2794,0.2769,True
E5,7B,repair_diverse,v5_04,1,True,3,1,3,0.313,0.313,True
E5,7B,repair_diverse,v5_07,1,False,5,2,5,0.257,0.257,True
E5,7B,repair_diverse,v5_09,1,False,5,2,5,0.2794,0.2769,True
E5,7B,repair_nudge_weak,v5_04,0,False,5,1,5,0.3185,0.3875,True
E5,7B,repair_nudge_weak,v5_07,0,False,5,4,5,0.0,0.0,False
E5,7B,repair_nudge_weak,v5_09,0,False,5,3,5,0.1664,0.1664,False
E5,7B,repair_nudge_weak,v5_04,1,False,5,2,5,0.3981,0.4209,True
E5,7B,repair_nudge_weak,v5_07,1,False,5,4,5,0.0,0.0,False
E5,7B,repair_nudge_weak,v5_09,1,False,5,3,5,0.1664,0.1664,False
E6lock,3B,repair_structured,v4_08,0,False,5,3,5,0.4798,0.4798,True
E6lock,3B,repair_structured,v4_08,1,False,5,3,5,0.4626,0.4626,True
E6lock,3B,repair_structured,v4_08,2,False,5,4,5,0.0,0.0,False
E6lock,3B,repair_structured,v4_08,3,False,5,4,5,0.0,0.0,False
E6lock,3B,repair_structured,v4_08,4,False,5,4,5,0.0,0.0,False
E6lock,3B,repair_diverse,v4_08,0,False,5,3,5,0.4798,0.4798,True
E6lock,3B,repair_diverse,v4_08,1,False,5,2,5,0.4626,0.7069,True
E6lock,3B,repair_diverse,v4_08,2,True,3,1,3,0.6525,0.6525,True
E6lock,3B,repair_diverse,v4_08,3,True,3,1,3,0.6525,0.6525,True
E6lock,3B,repair_diverse,v4_08,4,True,3,1,3,0.6525,0.6525,True
E6lock,3B,repair_nudge_weak,v4_08,0,False,5,3,5,0.4798,0.4798,True
E6lock,3B,repair_nudge_weak,v4_08,1,False,5,3,5,0.4626,0.4626,True
E6lock,3B,repair_nudge_weak,v4_08,2,False,5,4,5,0.0,0.0,False
E6lock,3B,repair_nudge_weak,v4_08,3,False,5,3,5,0.4548,0.4548,True
E6lock,3B,repair_nudge_weak,v4_08,4,False,5,4,5,0.0,0.0,False
E6v2,3B,repair_structured,v2_13,0,False,5,2,5,0.3816,0.3831,True
E6v2,3B,repair_structured,v2_14,0,False,5,4,5,0.0,0.0,False
E6v2,3B,repair_structured,v2_15,0,False,5,3,5,0.2971,0.2971,True
E6v2,3B,repair_structured,v2_13,1,False,5,3,5,0.3816,0.3816,True
E6v2,3B,repair_structured,v2_14,1,False,5,3,5,0.4271,0.4271,True
E6v2,3B,repair_structured,v2_15,1,False,5,3,5,0.3205,0.3205,True
E6v2,3B,repair_structured,v2_13,2,False,5,3,5,0.3816,0.3816,True
E6v2,3B,repair_structured,v2_14,2,False,5,4,5,0.0,0.0,False
E6v2,3B,repair_structured,v2_15,2,False,5,3,5,0.2971,0.2971,True
E6v2,3B,repair_structured,v2_13,3,False,5,3,5,0.4467,0.4467,True
E6v2,3B,repair_structured,v2_14,3,False,5,4,5,0.0,0.0,False
E6v2,3B,repair_structured,v2_15,3,False,5,3,5,0.332,0.332,True
E6v2,3B,repair_structured,v2_13,4,False,5,2,5,0.3816,0.4467,True
E6v2,3B,repair_structured,v2_14,4,False,5,4,5,0.0,0.0,False
E6v2,3B,repair_structured,v2_15,4,False,5,3,5,0.332,0.332,True
E6v2,3B,repair_diverse,v2_13,0,False,5,2,5,0.3816,0.3831,True
E6v2,3B,repair_diverse,v2_14,0,False,5,3,5,0.0028,0.0028,False
E6v2,3B,repair_diverse,v2_15,0,False,5,3,5,0.2971,0.2971,True
E6v2,3B,repair_diverse,v2_13,1,False,5,2,5,0.3816,0.3831,True
E6v2,3B,repair_diverse,v2_14,1,False,5,2,5,0.4271,0.4288,True
E6v2,3B,repair_diverse,v2_15,1,False,5,3,5,0.3205,0.3205,True
E6v2,3B,repair_diverse,v2_13,2,False,5,3,5,0.3816,0.3816,True
E6v2,3B,repair_diverse,v2_14,2,False,5,3,5,0.0028,0.0028,False
E6v2,3B,repair_diverse,v2_15,2,False,5,3,5,0.2971,0.2971,True
E6v2,3B,repair_diverse,v2_13,3,False,5,3,5,0.4467,0.4467,True
E6v2,3B,repair_diverse,v2_14,3,False,5,3,5,0.0552,0.0552,False
E6v2,3B,repair_diverse,v2_15,3,False,5,3,5,0.332,0.332,True
E6v2,3B,repair_diverse,v2_13,4,False,5,1,5,0.3816,0.4613,True
E6v2,3B,repair_diverse,v2_14,4,False,5,3,5,0.0028,0.0028,False
E6v2,3B,repair_diverse,v2_15,4,False,5,3,5,0.332,0.332,True
