run,model,arm,task,seed,step,coder_idx,seq_len,dist_to_prev,dist_to_step1
E4v2lock,7B,repair_structured,v2_11,0,1,1,473,,0.0
E4v2lock,7B,repair_structured,v2_11,0,3,2,473,0.0,0.0
E4v2lock,7B,repair_structured,v2_11,0,5,3,473,0.0,0.0
E4v2lock,7B,repair_structured,v2_11,0,7,4,473,0.0,0.0
E4v2lock,7B,repair_structured,v2_11,0,9,5,473,0.0,0.0
E4v2lock,7B,repair_diverse,v2_11,0,1,1,473,,0.0
E4v2lock,7B,repair_diverse,v2_11,0,3,2,473,0.0,0.0
E4v2lock,7B,repair_diverse,v2_11,0,5,3,148,0.8309,0.8309
E4v2lock,7B,repair_nudge_weak,v2_11,0,1,1,473,,0.0
E4v2lock,7B,repair_nudge_weak,v2_11,0,3,2,473,0.0,0.0
E4v2lock,7B,repair_nudge_weak,v2_11,0,5,3,473,0.0,0.0
E4v2lock,7B,repair_nudge_weak,v2_11,0,7,4,473,0.0,0.0
E4v2lock,7B,repair_nudge_weak,v2_11,0,9,5,473,0.0,0.0
E4v4,7B,repair_structured,v4_01,0,1,1,473,,0.0
E4v4,7B,repair_structured,v4_01,0,3,2,473,0.0,0.0
E4v4,7B,repair_structured,v4_01,0,5,3,473,0.0,0.0
E4v4,7B,repair_structured,v4_01,0,7,4,473,0.0,0.0
E4v4,7B,repair_structured,v4_01,0,9,5,473,0.0,0.0
E4v4,7B,repair_structured,v4_08,0,1,1,400,,0.0
E4v4,7B,repair_structured,v4_08,0,3,2,400,0.0,0.0
E4v4,7B,repair_structured,v4_08,0,5,3,400,0.0,0.0
E4v4,7B,repair_structured,v4_08,0,7,4,400,0.0,0.0
E4v4,7B,repair_structured,v4_08,0,9,5,400,0.0,0.0
E4v4,7B,repair_diverse,v4_01,0,1,1,473,,0.0
E4v4,7B,repair_diverse,v4_01,0,3,2,473,0.0,0.0
E4v4,7B,repair_diverse,v4_01,0,5,3,473,0.0,0.0
E4v4,7B,repair_diverse,v4_01,0,7,4,473,0.0,0.0
E4v4,7B,repair_diverse,v4_01,0,9,5,473,0.0,0.0
E4v4,7B,repair_diverse,v4_08,0,1,1,400,,0.0
E4v4,7B,repair_diverse,v4_08,0,3,2,400,0.0,0.0
E4v4,7B,repair_diverse,v4_08,0,5,3,168,0.6525,0.6525
E4v4,7B,repair_nudge_weak,v4_01,0,1,1,473,,0.0
E4v4,7B,repair_nudge_weak,v4_01,0,3,2,473,0.0,0.0
E4v4,7B,repair_nudge_weak,v4_01,0,5,3,473,0.0,0.0
E4v4,7B,repair_nudge_weak,v4_01,0,7,4,473,0.0,0.0
E4v4,7B,repair_nudge_weak,v4_01,0,9,5,473,0.0,0.0
E4v4,7B,repair_nudge_weak,v4_08,0,1,1,400,,0.0
E4v4,7B,repair_nudge_weak,v4_08,0,3,2,400,0.0,0.0
E4v4,7B,repair_nudge_weak,v4_08,0,5,3,400,0.0,0.0
E4v4,7B,repair_nudge_weak,v4_08,0,7,4,400,0.0,0.0
E4v4,7B,repair_nudge_weak,v4_08,0,9,5,400,0.0,0.0
E4v3lock,7B,repair_structured,v3_07,0,1,1,,,
E4v3lock,7B,repair_structured,v3_07,0,3,2,,,
E4v3lock,7B,repair_structured,v3_07,0,5,3,,,
E4v3lock,7B,repair_structured,v3_07,0,7,4,,,
E4v3lock,7B,repair_structured,v3_07,0,9,5,,,
E4v3lock,7B,repair_diverse,v3_07,0,1,1,,,
E4v3lock,7B,repair_diverse,v3_07,0,3,2,,,
E4v3lock,7B,repair_diverse,v3_07,0,5,3,,,
E4v3lock,7B,repair_diverse,v3_07,0,7,4,,,
E4v3lock,7B,repair_diverse,v3_07,0,9,5,,,
E4v3lock,7B,repair_nudge_weak,v3_07,0,1,1,,,
E4v3lock,7B,repair_nudge_weak,v3_07,0,3,2,,,
E4v3lock,7B,repair_nudge_weak,v3_07,0,5,3,,,
