model,arm,success,n,success_rate,avg_tokens,subset
7B-AWQ,direct,84,100,0.84,408.6,full-v2
7B-AWQ,repair,93,100,0.93,817.3,full-v2
7B-AWQ,no_feedback,92,100,0.92,686.6,full-v2
7B-AWQ,repair_structured,95,100,0.95,655.5,full-v2
7B-AWQ,repair_diverse,100,100,1.0,587.7,full-v2
7B-AWQ,repair_nudge_weak,1,27,0.037,2921.7,lock-only
3B-AWQ,direct,70,100,0.7,408.3,full-v2
3B-AWQ,repair,82,100,0.82,1266.8,full-v2
3B-AWQ,no_feedback,76,100,0.76,960.3,full-v2
3B-AWQ,repair_structured,80,100,0.8,1102.3,full-v2
3B-AWQ,repair_diverse,80,100,0.8,1115.8,full-v2
3B-AWQ,repair_nudge_weak,80,100,0.8,1112.0,full-v2
