unit,arm,success,tokens
7B v2_11 s0,repair_structured,0,3046
7B v2_11 s0,repair_diverse,1,1689
7B v2_11 s0,repair_nudge_weak,0,3136
7B v2_11 s1,repair_structured,0,3046
7B v2_11 s1,repair_diverse,1,1689
7B v2_11 s1,repair_nudge_weak,0,3136
7B v2_11 s2,repair_structured,0,3046
7B v2_11 s2,repair_diverse,1,1689
7B v2_11 s2,repair_nudge_weak,0,3136
7B v2_11 s3,repair_structured,0,3046
7B v2_11 s3,repair_diverse,1,1689
7B v2_11 s3,repair_nudge_weak,0,3136
7B v2_11 s4,repair_structured,0,3046
7B v2_11 s4,repair_diverse,1,1689
7B v2_11 s4,repair_nudge_weak,0,3136
7B v4_01 s0,repair_structured,0,3022
7B v4_01 s0,repair_diverse,0,3169
7B v4_01 s0,repair_nudge_weak,0,3112
7B v4_05 s0,repair_structured,0,2601
7B v4_05 s0,repair_diverse,0,2684
7B v4_05 s0,repair_nudge_weak,0,2681
7B v4_08 s0,repair_structured,0,2547
7B v4_08 s0,repair_diverse,1,1507
7B v4_08 s0,repair_nudge_weak,0,2637
7B v4_01 s1,repair_structured,0,3022
7B v4_01 s1,repair_diverse,0,3169
7B v4_01 s1,repair_nudge_weak,0,3112
7B v4_04 s1,repair_structured,0,2381
7B v4_04 s1,repair_diverse,1,1446
7B v4_04 s1,repair_nudge_weak,1,1430
7B v4_08 s1,repair_structured,0,2547
7B v4_08 s1,repair_diverse,1,1507
7B v4_08 s1,repair_nudge_weak,0,2637
7B v4_01 s2,repair_structured,0,3022
7B v4_01 s2,repair_diverse,0,3169
7B v4_01 s2,repair_nudge_weak,0,3112
7B v4_08 s2,repair_structured,0,2547
7B v4_08 s2,repair_diverse,1,1507
7B v4_08 s2,repair_nudge_weak,0,2637
7B v4_01 s3,repair_structured,0,3022
7B v4_01 s3,repair_diverse,0,3169
7B v4_01 s3,repair_nudge_weak,0,3112
7B v4_08 s3,repair_structured,0,2547
7B v4_08 s3,repair_diverse,1,1507
7B v4_08 s3,repair_nudge_weak,0,2637
7B v4_01 s4,repair_structured,0,3022
7B v4_01 s4,repair_diverse,0,3169
7B v4_01 s4,repair_nudge_weak,0,3112
7B v4_04 s4,repair_structured,0,2381
7B v4_04 s4,repair_diverse,1,1446
7B v4_04 s4,repair_nudge_weak,0,2471
7B v4_05 s4,repair_structured,0,2601
7B v4_05 s4,repair_diverse,0,2671
7B v4_05 s4,repair_nudge_weak,0,2691
7B v4_08 s4,repair_structured,0,2547
7B v4_08 s4,repair_diverse,1,1507
7B v4_08 s4,repair_nudge_weak,0,2637
7B v3_07 s0,repair_structured,0,3220
7B v3_07 s0,repair_diverse,0,3367
7B v3_07 s0,repair_nudge_weak,0,3310
7B v3_07 s2,repair_structured,0,3175
7B v3_07 s2,repair_diverse,0,3273
7B v3_07 s2,repair_nudge_weak,0,3235
7B v3_07 s4,repair_structured,0,3380
7B v3_07 s4,repair_diverse,0,3503
7B v3_07 s4,repair_nudge_weak,0,3470
7B v5_07 s0,repair_structured,0,3134
7B v5_07 s0,repair_diverse,0,3112
7B v5_07 s0,repair_nudge_weak,0,3224
7B v5_09 s0,repair_structured,0,3155
7B v5_09 s0,repair_diverse,0,3186
7B v5_09 s0,repair_nudge_weak,0,3215
7B v5_04 s1,repair_structured,0,2293
7B v5_04 s1,repair_diverse,1,1398
7B v5_04 s1,repair_nudge_weak,0,2294
7B v5_07 s1,repair_structured,0,3134
7B v5_07 s1,repair_diverse,0,3112
7B v5_07 s1,repair_nudge_weak,0,3224
7B v5_09 s1,repair_structured,0,3155
7B v5_09 s1,repair_diverse,0,3186
7B v5_09 s1,repair_nudge_weak,0,3215
3B v4_08 s0,repair_structured,0,4512
